% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

16 106
00:18:39:CC:77:46 -51
00:23:EB:3A:11:D0 -63
00:23:EB:0A:C1:75 -59
00:17:DF:AA:9B:A3 -77
00:23:EB:3A:10:90 -57
00:23:EB:0B:42:A1 -76
00:23:EB:3A:12:20 -41
00:23:EB:0B:52:00 -80
00:25:84:23:1B:B1 -75
00:23:EB:3A:10:50 -48
00:23:EB:3A:11:30 -62
00:18:39:CC:77:49 -72
00:23:EB:0B:51:55 -67
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -68
00:23:EB:3A:17:A0 -75

17 106
00:18:39:CC:77:46 -46
00:23:EB:3A:11:D0 -65
00:17:DF:AA:9B:A2 -67
00:17:DF:AA:9B:A3 -67
00:17:DF:AA:9B:A1 -77
00:25:84:23:1B:B0 -74
00:25:84:23:1C:71 -63
00:23:EB:3A:10:90 -56
00:23:EB:0B:42:A1 -69
00:23:EB:3A:12:20 -45
00:23:EB:0B:42:A0 -64
00:25:84:23:1B:B1 -74
00:23:EB:0A:BE:11 -80
00:23:EB:3A:10:50 -46
00:18:39:CC:77:49 -73
00:23:EB:0A:C1:B5 -83
00:23:EB:3A:0F:00 -58

21 106
00:23:EB:3A:11:D0 -69
00:18:39:CC:77:46 -49
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A2 -67
00:17:DF:AA:9B:A3 -66
00:17:DF:AA:9B:A0 -71
00:25:84:23:1B:B0 -74
00:23:EB:3A:10:90 -55
00:25:84:23:1C:71 -60
00:23:EB:3A:12:20 -45
00:23:EB:0B:42:A1 -64
00:23:EB:0B:42:A0 -65
00:25:84:23:1B:B1 -72
00:25:84:23:1C:70 -61
00:23:EB:3A:10:50 -48
00:18:39:CC:77:49 -74
00:23:EB:0B:51:55 -67
00:25:84:23:16:31 -82
00:23:EB:0A:C1:B5 -82
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -69

16 106
00:18:39:CC:77:46 -48
00:23:EB:3A:11:D0 -67
00:17:DF:AA:9B:A2 -67
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -66
00:17:DF:AA:9B:A0 -67
00:25:84:23:1C:71 -65
00:23:EB:3A:10:90 -53
00:23:EB:3A:12:20 -43
00:25:84:23:1B:B1 -72
00:23:EB:0B:42:A0 -65
00:23:EB:3A:10:50 -47
00:23:EB:0B:51:55 -66
00:18:39:CC:77:49 -74
00:23:EB:0A:C1:B5 -82
00:25:84:23:16:31 -82

17 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -51
00:23:EB:0A:C1:75 -59
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
00:23:EB:3A:10:90 -68
00:25:84:23:1C:71 -65
00:23:EB:3A:12:20 -42
00:25:84:23:1B:B1 -74
00:23:EB:3A:10:50 -46
00:18:39:CC:77:49 -76
00:23:EB:3A:17:60 -64
00:23:EB:0B:51:55 -66
00:25:84:23:16:30 -68
00:25:84:23:16:31 -69
00:23:EB:3A:0F:00 -61

19 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -53
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
00:23:EB:3A:10:90 -50
00:25:84:23:1C:71 -60
00:23:EB:0B:42:A1 -65
00:23:EB:3A:12:20 -48
00:25:84:23:1B:B1 -73
00:23:EB:3A:10:50 -50
00:18:39:CC:77:49 -75
00:23:EB:0B:51:55 -68
00:23:EB:3A:17:60 -67
00:25:84:23:16:30 -68
00:25:84:23:16:31 -69
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -68

19 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -53
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
00:23:EB:3A:10:90 -50
00:25:84:23:1C:71 -60
00:23:EB:0B:42:A1 -65
00:23:EB:3A:12:20 -48
00:25:84:23:1B:B1 -74
00:23:EB:3A:10:50 -50
00:18:39:CC:77:49 -75
00:23:EB:0B:51:55 -68
00:23:EB:3A:17:60 -67
00:25:84:23:16:30 -68
00:25:84:23:16:31 -69
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -68

19 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -53
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
00:23:EB:3A:10:90 -50
00:25:84:23:1C:71 -60
00:23:EB:0B:42:A1 -65
00:23:EB:3A:12:20 -48
00:25:84:23:1B:B1 -74
00:23:EB:3A:10:50 -50
00:18:39:CC:77:49 -75
00:23:EB:0B:51:55 -68
00:23:EB:3A:17:60 -67
00:25:84:23:16:30 -68
00:25:84:23:16:31 -69
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -68

19 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -53
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
00:23:EB:3A:10:90 -50
00:25:84:23:1C:71 -60
00:23:EB:0B:42:A1 -65
00:23:EB:3A:12:20 -48
00:25:84:23:1B:B1 -74
00:23:EB:3A:10:50 -50
00:18:39:CC:77:49 -75
00:23:EB:0B:51:55 -68
